Date,Open,High,Low,Close,Volume
2020-07-01,120.1696,121.5184,119.4021,120.2420,34816500
2020-07-02,120.1506,120.3222,117.1183,118.5977,39279268
2020-07-03,118.1425,118.7464,116.5885,116.8303,8341917
2020-07-06,116.6655,117.6117,115.3959,116.7448,3915458
2020-07-07,116.6750,118.3661,115.1048,116.9482,11577793
2020-07-08,116.5047,117.7689,115.3412,116.6055,7064611
2020-07-09,116.3872,119.4955,116.3414,119.1329,16572211
2020-07-10,118.8693,119.8437,115.2326,117.3760,42479840
2020-07-13,117.5237,118.0846,116.1628,117.1485,33503649
2020-07-14,117.1603,117.7508,115.3349,115.4158,23462444
2020-07-15,115.1313,115.3023,113.7735,115.2548,44137275
2020-07-16,115.0563,115.3146,114.1519,114.4594,2940219
2020-07-17,114.0404,116.9757,113.5200,116.9712,33364767
2020-07-20,117.3877,120.8215,115.8635,119.7918,30843768
2020-07-21,120.0615,120.8793,116.5414,116.7422,22431999
2020-07-22,116.3282,117.5761,115.6858,116.5551,48413891
2020-07-23,116.7424,117.0889,115.6345,116.4510,44975030
2020-07-24,117.0070,118.6738,113.0867,114.6556,37805037
2020-07-27,114.4687,114.7533,114.2352,114.6137,9850652
2020-07-28,114.5282,114.6408,112.9871,114.3839,8602345
2020-07-29,114.5549,114.7981,113.3807,113.8661,49878608
2020-07-30,113.6190,114.8136,111.2712,111.6806,48563633
2020-07-31,111.3771,115.7587,111.1146,114.3752,47143453
2020-08-03,114.1277,114.5252,112.5418,113.0869,36657112
2020-08-04,112.9861,114.7642,112.8977,113.3297,18248842
2020-08-05,112.7799,113.5435,111.2513,111.7618,8436090
2020-08-06,111.4733,114.3614,109.6046,113.3414,14692787
2020-08-07,113.2226,113.7055,110.5818,112.1518,12713329
2020-08-10,112.1515,112.2231,109.2312,109.9001,24237626
2020-08-11,110.0330,113.6374,109.3178,111.8318,3661552
2020-08-12,111.4590,113.2826,111.2212,113.2187,38234993
2020-08-13,113.6727,114.8531,112.7544,114.4036,9440708
2020-08-14,114.2621,116.2716,113.3316,115.3662,8276285
2020-08-17,115.0887,117.0901,113.8742,114.2175,14275046
2020-08-18,114.2863,117.5460,113.2318,117.3929,10124515
2020-08-19,117.3308,117.8083,113.9014,115.0960,28824129
2020-08-20,114.9226,115.5102,113.7879,114.9813,37952619
2020-08-21,114.4781,117.8371,113.8350,116.2436,6201272
2020-08-24,116.3094,118.6067,111.9561,115.8244,33813650
2020-08-25,115.5604,116.0806,115.1173,115.9521,19160463
2020-08-26,116.3931,116.6932,113.3411,113.9121,5380088
2020-08-27,113.7166,115.6404,113.1831,114.8754,41998767
2020-08-28,115.4262,118.5052,115.0591,116.3075,34901699
2020-08-31,115.9383,120.5456,115.7394,119.6862,42644477
2020-09-01,119.4302,121.3051,117.3185,120.1127,24146589
2020-09-02,120.0014,120.8628,116.3117,116.3994,34612353
2020-09-03,116.3552,117.2032,112.8510,115.0762,13051728
2020-09-04,114.6560,117.0539,114.5558,116.3483,33581362
2020-09-07,116.5531,117.0815,115.4811,116.1764,5531056
2020-09-08,115.4409,120.0647,114.3893,119.6834,27681763
2020-09-09,119.6391,120.2861,118.9779,119.7926,46524103
2020-09-10,120.1401,121.7112,115.5505,116.0593,2856261
2020-09-11,116.2790,117.0708,115.7842,116.6101,21632351
2020-09-14,116.7973,120.8650,116.2957,118.7498,31475498
2020-09-15,118.6980,122.7189,117.7714,121.8939,5034528
2020-09-16,121.5128,125.8397,119.8560,125.2451,40821621
2020-09-17,125.0415,130.5860,124.8288,130.5594,47419318
2020-09-18,130.4198,131.3087,128.2211,128.6327,2668662
2020-09-21,128.3475,130.7034,125.2702,126.6918,45270047
2020-09-22,126.4126,129.4607,125.5192,128.4487,19159292
2020-09-23,128.2610,134.1835,127.3861,133.0022,26039504
