Date,Open,High,Low,Close,Volume
2020-07-01,448.8806,468.6731,438.0247,468.4553,2736654
2020-07-02,468.2371,489.1649,446.2528,483.6510,23385914
2020-07-03,479.1573,501.8711,477.7039,493.3643,8075490
2020-07-06,489.0570,511.9033,486.4053,503.6561,27639778
2020-07-07,502.3327,533.9227,497.6298,523.5328,18941869
2020-07-08,517.8581,522.2034,501.9660,513.5551,25754643
2020-07-09,513.6590,524.3198,513.1334,516.0713,35650709
2020-07-10,517.9887,535.0095,515.1898,518.9731,2063340
2020-07-13,519.4196,556.7797,511.8225,556.1022,12135117
2020-07-14,554.4852,561.7696,547.2064,549.1780,10976299
2020-07-15,550.6171,564.4341,543.0998,557.7799,6143547
2020-07-16,556.2772,556.9774,541.0983,551.3430,7379495
2020-07-17,552.2012,559.4812,538.1444,548.0754,31777485
2020-07-20,544.4785,544.9918,531.4065,533.4848,9810702
2020-07-21,532.6338,544.4824,529.0989,540.3147,29406076
2020-07-22,539.4330,541.5876,516.4099,519.1047,41988054
2020-07-23,520.4416,524.5431,519.3506,521.4287,5463601
2020-07-24,522.8698,523.8038,508.9663,518.4623,28654151
2020-07-27,518.5308,520.7441,483.5046,495.2088,42454605
2020-07-28,494.1750,497.2593,456.1037,472.0564,32345574
2020-07-29,471.2610,494.3359,466.8079,489.9715,48301421
2020-07-30,496.2613,502.5833,489.3328,498.9308,11046777
2020-07-31,497.4127,503.6072,485.6915,491.0480,48401743
2020-08-03,489.6128,513.1639,487.7028,508.5000,39968185
2020-08-04,506.7726,511.0975,497.6340,506.9078,43914375
2020-08-05,505.0454,517.3684,501.9531,506.5118,24939849
2020-08-06,506.0581,528.3435,491.5789,514.8609,10687882
2020-08-07,519.3626,538.4122,514.7969,535.6456,41250186
2020-08-10,533.9222,540.8792,532.2351,540.5472,6535267
2020-08-11,538.8507,549.2716,491.4483,507.0682,24402971
2020-08-12,506.2645,512.7920,484.5916,487.6756,20283019
2020-08-13,486.3008,494.7526,468.5076,473.3068,14126086
2020-08-14,475.4247,497.1020,472.6351,482.5368,39569952
2020-08-17,483.2505,484.8460,474.2123,484.7726,19161317
2020-08-18,483.7951,495.9647,471.0769,487.2779,1399534
2020-08-19,485.5079,486.0508,464.2375,483.9816,45170043
2020-08-20,482.2185,509.9513,481.8114,507.6987,2390973
2020-08-21,507.0374,516.1751,498.5015,508.4601,36393837
2020-08-24,512.3782,514.4239,493.0917,508.7395,18535948
2020-08-25,506.2433,516.1156,500.2852,508.0018,20558259
2020-08-26,507.8341,520.5252,486.6051,491.9257,25608718
2020-08-27,490.4818,501.5503,486.3257,501.1879,21780252
2020-08-28,505.7800,524.6849,499.2321,518.9695,15167679
2020-08-31,520.0623,526.5662,476.2883,492.1376,33120391
2020-09-01,493.3238,495.4497,463.2305,471.0693,36358281
2020-09-02,470.4177,503.6211,466.7558,497.7970,44448790
2020-09-03,497.1917,505.6559,494.1596,500.2168,49361981
2020-09-04,497.7607,503.5809,473.3874,479.2341,3994620
2020-09-07,478.1242,480.1525,446.6826,458.1207,20875764
2020-09-08,456.0633,473.1203,441.2207,463.1006,31470130
2020-09-09,462.0030,471.8896,407.8516,422.5473,38495557
2020-09-10,424.6682,444.9210,422.2668,427.4180,38325168
2020-09-11,425.2229,433.2880,416.9406,426.7659,7918378
2020-09-14,428.1762,436.0808,412.8634,415.6026,49199054
2020-09-15,413.5253,424.9939,404.7061,420.0222,9771414
2020-09-16,416.8872,422.0983,416.4557,416.9244,24313646
