Date,Open,High,Low,Close,Volume
2020-07-01,300.0728,306.8279,298.0152,304.6592,36571761
2020-07-02,304.7941,309.8514,299.9238,304.6825,6189088
2020-07-03,304.5713,315.6379,304.0151,311.1396,22133394
2020-07-06,310.5858,314.8324,309.8904,311.7494,9424600
2020-07-07,313.0635,319.7758,310.4446,313.7786,48459516
2020-07-08,315.9857,321.4494,308.2902,310.9875,9703955
2020-07-09,311.1421,312.0272,299.8415,301.5983,40151281
2020-07-10,301.3483,305.5323,293.5036,294.0340,5034029
2020-07-13,294.4852,296.8337,287.2731,288.2013,29908201
2020-07-14,289.2371,303.1380,287.5435,296.8943,23281683
2020-07-15,297.3326,298.7611,296.2505,297.6037,39958970
2020-07-16,297.6346,300.8928,289.0151,293.0794,5917056
2020-07-17,293.6473,297.9279,288.1131,289.0356,20275711
2020-07-20,289.5020,293.2234,289.3286,291.0618,37286751
2020-07-21,291.7099,304.2662,291.2499,302.9867,1782451
2020-07-22,302.0824,307.0336,301.5037,304.5888,27865438
2020-07-23,303.6959,305.2957,302.3403,304.8959,28260659
2020-07-24,303.8985,306.1248,299.3427,300.1918,5900544
2020-07-27,300.2970,301.0753,295.6651,300.7276,21308493
2020-07-28,301.6767,305.0585,300.5543,304.6102,48070058
2020-07-29,303.8102,315.1857,302.8475,311.9332,15643898
2020-07-30,311.0628,319.4881,310.2030,316.9253,2240038
2020-07-31,318.5908,326.9458,315.0637,326.4719,9100979
2020-08-03,325.8080,326.4472,322.2565,323.8286,44459352
2020-08-04,323.4244,336.7178,323.2240,333.9937,17570312
2020-08-05,334.3214,349.0699,330.7385,349.0514,39885475
2020-08-06,349.3052,358.3636,340.1188,358.1233,21578472
2020-08-07,359.3827,365.4261,356.5125,356.8166,9704697
2020-08-10,356.6666,359.3709,352.0449,352.1491,4048243
2020-08-11,351.5713,361.0745,351.1104,356.9828,21181321
2020-08-12,356.1055,357.1243,351.5936,354.4379,46578596
2020-08-13,354.6725,359.7889,351.0390,355.5678,38040006
2020-08-14,354.7850,362.9019,351.3321,361.5604,44766782
2020-08-17,361.5201,368.9723,357.6615,365.3007,49498893
2020-08-18,366.9322,367.9932,363.4997,363.5503,39357670
2020-08-19,364.6001,376.1023,362.9072,372.1146,20936049
2020-08-20,372.4306,381.1748,370.2406,376.1368,39223636
2020-08-21,377.2120,382.5485,374.7946,379.6576,49317472
2020-08-24,378.5630,379.4817,371.8392,372.5520,6893077
2020-08-25,369.6776,376.1015,365.1679,372.1801,46678379
2020-08-26,371.6822,377.0709,370.5022,376.7288,3110539
2020-08-27,376.2663,380.7120,375.5876,377.0705,8841627
2020-08-28,379.6105,387.8194,379.2755,381.1102,11901595
2020-08-31,379.8718,382.4431,363.6715,367.9221,11751677
2020-09-01,367.3243,372.8290,356.7533,358.2969,47827001
2020-09-02,357.6173,360.8653,354.2558,354.6251,46184469
2020-09-03,354.6714,356.0135,343.7354,349.0113,8927121
2020-09-04,349.8976,355.7294,345.0410,346.5648,24153814
2020-09-07,348.3573,360.4523,341.5614,354.3429,2718265
2020-09-08,356.0022,358.8891,349.0597,351.1910,25413759
2020-09-09,351.3944,369.3933,346.3888,364.7690,9903321
2020-09-10,364.9992,366.5797,350.2835,361.0460,23363718
2020-09-11,361.0729,370.5542,354.8300,370.3742,21645925
2020-09-14,372.2697,377.4638,351.7295,361.4206,43820882
2020-09-15,360.8981,367.2457,360.2411,360.8833,40768159
2020-09-16,361.2385,364.8420,349.0691,350.8248,34638011
2020-09-17,350.6062,362.6455,350.1340,362.1256,26487548
2020-09-18,363.4590,368.6496,358.0884,364.6469,16296823
2020-09-21,363.6664,371.4092,358.0794,362.8415,27552511
2020-09-22,364.1796,365.2422,351.8985,357.5073,39589199
2020-09-23,357.3772,357.7748,353.5091,355.5460,46404039
2020-09-24,354.7802,354.8159,344.5296,353.9098,29542423
2020-09-25,351.8063,365.9319,350.9075,361.7641,46885061
2020-09-28,361.9290,370.6722,360.8200,366.8211,32123107
2020-09-29,366.9152,386.7968,364.1841,381.7916,34184982
2020-09-30,381.3439,383.7367,375.9519,379.9741,37085485
2020-10-01,379.5060,389.1853,377.0804,384.3112,19921929
2020-10-02,384.7953,396.6823,384.2041,395.5862,1877690
2020-10-05,395.7253,402.5093,387.8313,396.4597,28329029
2020-10-06,396.4390,402.1484,396.3408,397.5162,15020304
2020-10-07,397.2431,399.1116,394.1243,397.3055,42220128
2020-10-08,397.7123,403.2256,392.0571,400.5552,6436627
2020-10-09,399.0519,407.8522,396.5975,406.9979,34172708
2020-10-12,405.8331,408.1144,399.5092,401.3438,4145432
2020-10-13,400.9398,407.5976,395.8226,399.7219,42026598
2020-10-14,399.1989,401.3414,398.5451,399.9460,34206441
2020-10-15,400.6068,403.1527,389.3695,395.5350,8236281
2020-10-16,394.7279,395.8270,385.4883,390.7283,39867373
2020-10-19,391.8731,393.7069,386.0631,386.3749,7384712
2020-10-20,386.0809,388.9652,385.3400,388.2452,2747234
2020-10-21,387.6857,393.0060,385.2581,390.0718,11101131
2020-10-22,388.5867,390.9127,380.3666,387.4197,45617609
2020-10-23,386.9532,392.2815,386.1571,388.3680,32430453
2020-10-26,388.5073,398.3360,387.2671,397.4220,2759319
2020-10-27,397.0062,408.1985,390.4677,403.2325,33747570
2020-10-28,401.5213,403.6998,391.9786,395.6336,47468553
2020-10-29,394.6124,396.9451,391.1601,393.5709,27619555
2020-10-30,392.4787,397.8158,380.9799,383.4747,26084674
2020-11-02,382.9087,383.6763,375.2371,381.7133,36620968
2020-11-03,379.7657,388.8172,374.8060,387.6494,44090014
2020-11-04,387.8565,391.8462,375.7637,377.1869,38086869
2020-11-05,377.4834,386.4566,376.8279,381.0117,45241770
2020-11-06,382.6158,385.3241,367.0676,371.8278,40893227
2020-11-09,371.7146,374.1959,366.0787,366.9673,11480287
2020-11-10,368.0320,375.4049,367.5551,370.9118,16746682
2020-11-11,369.9157,373.8656,367.8935,371.9630,21883017
2020-11-12,370.3321,375.9798,367.1906,371.7545,37040156
2020-11-13,371.9585,378.2462,364.7134,375.0596,14919209
2020-11-16,375.4886,381.1892,373.3886,378.0557,15440739
2020-11-17,376.7069,399.5609,369.2479,386.5116,11070038
2020-11-18,386.1020,390.6026,377.2115,380.4275,49555436
2020-11-19,380.7649,393.2216,375.8470,390.2247,2863505
2020-11-20,390.5008,391.7362,382.0171,383.7704,1655247
2020-11-23,385.1260,389.6149,370.9361,376.3853,27616008
2020-11-24,377.6054,384.1807,374.5071,383.2597,40132205
2020-11-25,384.0768,393.8757,383.3424,385.4163,1155407
2020-11-26,386.5820,394.4459,383.6638,384.6208,49583188
2020-11-27,384.9443,387.3351,371.5294,380.7981,48707910
2020-11-30,380.4229,383.5506,377.2283,383.2718,14048588
2020-12-01,382.6213,391.4899,382.3450,385.3371,26196601
2020-12-02,386.6787,388.9811,369.2891,370.7174,48487039
2020-12-03,368.7379,376.3467,368.3965,375.6351,9877871
2020-12-04,375.9490,390.4158,375.3518,384.2801,29239361
2020-12-07,383.0640,394.9405,381.1706,392.7478,3970637
2020-12-08,392.6962,395.2667,391.9582,393.4173,49957705
2020-12-09,392.7252,408.0105,388.5087,406.4810,14070307
2020-12-10,406.6079,409.2992,387.1483,395.4343,28137919
2020-12-11,396.2434,400.6243,391.9778,398.5246,41245441
2020-12-14,398.1873,403.0199,390.0755,393.9868,17265540
2020-12-15,393.4460,407.2788,385.6614,401.8447,25706834
2020-12-16,401.5695,407.9729,399.4178,406.0689,15033262
2020-12-17,405.1541,422.4829,400.3485,418.3414,37676146
2020-12-18,420.1273,425.7752,412.1245,415.1956,2684461
